series_id,date,value
LNS14000000,2023-10-01,3.9
LNS14000000,2023-11-01,3.7
LNS14000000,2023-12-01,3.8
LNS14000000,2024-01-01,3.7
LNS14000000,2024-02-01,3.9
LNS14000000,2024-03-01,3.9
LNS14000000,2024-04-01,3.9
LNS14000000,2024-05-01,4.0
LNS14000000,2024-06-01,4.1
LNS14000000,2024-07-01,4.2
LNS14000000,2024-08-01,4.2
LNS14000000,2024-09-01,4.1
LNS14000000,2024-10-01,4.1
LNS14000000,2024-11-01,4.2
LNS14000000,2024-12-01,4.1
LNS14000000,2025-01-01,4.0
LNS14000000,2025-02-01,4.1
LNS14000000,2025-03-01,4.2
LNS14000000,2025-04-01,4.2
LNS14000000,2025-05-01,4.2
LNS14000000,2025-06-01,4.1
LNS14000000,2025-07-01,4.2
LNS14000000,2025-08-01,4.3
LNS14000000,2025-09-01,4.4
